,and,,just,then,is,it,one,have,no,three,to,you,#total,do,we,0000,that,here,two,a,on,i,of,up,this,so,can,the
2701 Game1-1,62,0,38,37,7,36,42,25,7,13,74,48,1762,22,40,0,36,7,23,8,2,83,27,11,0,38,32,29
2701 Game1-2,33,0,14,20,2,21,20,19,5,15,38,47,1277,12,25,0,31,5,29,4,2,46,30,21,0,58,10,17
2701 Game1-3,36,0,6,28,6,9,16,26,5,4,30,27,1023,15,30,0,30,7,13,7,5,43,12,7,0,25,15,26
2752 Game1-1,27,0,10,18,14,14,30,19,2,8,30,43,1398,32,49,0,34,6,24,10,8,66,19,12,0,17,33,22
2752 Game1-2,26,0,19,19,9,29,34,14,4,7,33,46,1639,13,50,0,34,8,19,6,13,98,25,13,0,26,27,29
2752 Game1-3,35,0,11,22,13,43,22,18,7,3,36,43,1416,13,25,0,26,9,13,13,12,72,14,15,0,33,22,36
2752 Game1-4,41,0,34,33,11,45,35,28,21,10,50,61,2238,19,59,0,58,13,29,15,8,71,39,17,0,32,37,60
2801 Game1-1,31,0,10,21,6,15,39,16,4,15,34,40,1339,22,20,0,27,3,30,10,13,47,20,16,0,51,15,36
2801 Game1-2,68,0,18,33,11,19,44,31,17,11,98,83,2123,11,37,0,55,23,18,9,17,72,44,17,0,55,17,66
2801 Game1-3,41,0,11,16,14,19,29,47,15,16,54,56,1761,23,34,0,48,25,27,11,18,117,30,13,0,51,21,20
2852 Game1-1,35,0,6,5,4,28,23,21,8,7,29,39,1522,18,30,0,40,6,12,22,4,131,14,6,0,33,23,32
2852 Game1-2,16,0,5,9,2,7,7,7,11,3,7,16,500,3,6,0,7,1,4,4,3,25,10,0,0,19,7,10
2852 Game1-3,29,0,0,7,6,10,18,7,5,19,20,20,898,5,14,0,15,6,11,4,4,47,22,0,0,28,23,16
2852 Game1-4,61,0,26,45,15,68,56,47,22,19,98,166,3384,30,88,0,104,28,25,27,17,120,52,16,0,66,59,42
2901 Game1-1,52,0,22,42,15,36,29,31,13,9,64,72,1947,23,26,0,66,10,13,9,20,96,21,23,0,42,33,32
2901 Game1-2,39,0,12,27,15,32,29,28,11,3,59,82,1978,23,23,0,66,18,10,10,20,91,20,11,0,61,44,33
2901 Game1-3,52,0,31,18,15,29,20,15,9,15,55,58,1746,28,44,0,58,18,10,6,15,71,11,7,0,63,33,29
2952 Game1-1,24,0,14,22,6,11,34,24,4,8,38,76,1232,18,21,0,27,8,16,3,10,48,35,6,0,16,16,30
2952 Game1-2,19,0,3,7,5,20,32,20,4,8,29,26,1148,16,17,0,47,7,17,15,8,53,18,10,0,25,20,18
2952 Game1-3,26,0,11,26,12,28,45,19,24,11,20,36,1677,11,29,0,62,10,7,13,17,129,18,20,0,15,28,47
3001 Game1-1,14,0,2,24,6,25,29,10,5,13,22,38,1101,21,10,0,37,4,16,3,7,61,16,17,0,25,29,25
3001 Game1-2,36,0,20,17,3,14,11,9,2,13,12,7,669,12,16,0,9,3,9,1,2,36,18,5,0,13,7,19
3001 Game1-3,24,0,11,18,3,22,18,10,9,2,19,56,977,14,11,0,22,2,13,5,6,39,14,3,0,10,15,14
3001 Game1-4,31,0,4,28,5,15,20,4,2,5,14,30,796,6,11,0,27,8,13,6,3,21,15,21,0,24,11,21
3052 Game1-1,33,0,4,4,8,23,13,12,3,5,8,30,993,4,30,0,24,10,10,1,5,42,13,10,0,26,12,19
3052 Game1-2,15,0,3,9,8,13,15,9,2,11,16,18,858,5,9,0,23,8,14,8,10,35,22,7,0,14,15,16
3052 Game1-3,56,0,8,6,26,25,22,16,9,17,33,82,1886,16,47,0,64,6,20,17,13,71,36,14,0,35,27,25
3101 Game1-1,17,0,6,9,5,14,15,6,10,4,8,24,705,9,6,0,23,9,9,3,1,31,18,5,0,19,18,5
3101 Game1-2,99,0,18,62,6,29,56,40,13,25,57,111,2336,33,29,0,75,11,35,11,11,91,51,10,0,82,42,44
3101 Game1-3,38,0,6,23,10,14,10,7,11,3,30,26,951,4,11,0,18,4,9,11,4,51,17,5,0,21,14,23
3101 Game1-4,25,0,17,11,4,26,23,14,16,5,23,88,1403,16,11,0,46,2,18,14,3,77,15,3,0,37,16,19
3201 Game1-1,79,0,5,28,12,33,35,20,4,15,46,50,1991,18,44,0,72,17,27,13,10,81,18,14,0,62,12,48
3201 Game1-2,70,0,10,11,18,41,33,20,5,23,55,73,2188,9,29,0,50,20,32,12,14,54,37,30,0,46,10,63
3201 Game1-3,16,0,15,7,4,21,15,7,3,3,27,22,1012,6,17,0,41,6,7,5,5,43,21,2,0,29,5,11
3252 Game1-1,80,0,22,53,13,57,51,36,15,21,38,109,2660,31,38,0,80,27,36,10,19,115,38,20,0,108,42,33
3252 Game1-2,29,0,5,20,4,15,20,10,1,4,23,25,979,4,9,0,25,5,4,9,6,59,18,7,0,31,19,22
3252 Game1-3,37,0,31,11,6,21,33,24,4,7,24,33,1351,5,36,0,31,16,13,6,11,80,29,11,0,29,14,27
3301 Game1-1,30,0,10,13,10,24,22,15,26,8,29,38,1479,12,17,0,47,9,18,5,7,66,15,8,0,55,23,19
3301 Game1-2,34,0,12,15,10,25,23,5,18,9,20,42,1446,10,21,0,31,9,12,4,2,79,23,9,0,25,20,23
3301 Game1-3,44,0,10,10,9,41,21,9,7,9,25,45,1435,11,30,0,43,4,12,9,9,76,16,7,0,32,17,26
3401 Game1-1,15,0,0,1,7,4,6,0,2,3,5,11,461,1,6,0,16,4,8,8,0,21,14,4,0,1,7,9
3401 Game1-2,60,0,24,22,17,43,38,50,15,17,95,109,3013,21,44,0,45,20,22,21,27,105,50,20,0,61,27,93
3401 Game1-3,32,0,6,31,7,12,35,14,13,5,25,41,1169,18,9,0,21,6,4,0,10,87,6,10,0,20,27,15
3452 Game1-1,24,0,10,14,3,18,20,24,16,7,44,36,1328,26,31,0,30,1,18,9,7,46,18,17,0,42,27,28
3452 Game1-2,126,0,30,100,22,35,62,37,37,20,63,97,3028,25,46,0,64,19,53,16,10,82,45,27,0,67,23,60
3452 Game1-3,39,0,39,27,15,45,30,37,33,9,57,101,2097,33,22,0,50,21,25,18,13,91,25,7,0,47,34,30
3452 Game1-4,23,0,3,3,5,33,24,11,11,3,43,59,1417,18,24,0,23,7,16,11,10,85,19,18,0,29,19,42
3501 Game1-1,30,0,6,17,5,11,11,8,7,5,21,14,728,8,10,0,10,8,14,5,3,29,14,8,0,18,11,12
3501 Game1-2,32,0,2,13,18,27,20,12,3,13,37,33,1210,28,27,0,50,18,20,7,9,63,17,14,0,31,10,31
3501 Game1-3,60,0,8,41,4,17,26,13,17,7,21,51,1112,10,20,0,32,14,7,4,3,63,15,12,0,22,22,23
3552 Game1-1,38,0,14,16,4,28,22,22,16,10,41,40,1703,21,37,0,48,11,17,16,6,109,25,9,0,24,30,26
3552 Game1-2,32,0,19,17,8,46,26,23,13,14,27,78,2068,25,38,0,59,8,15,19,13,105,47,18,0,41,28,57
