,body,they,family,funct,feel,certain,insight,assent,number,sad,past,anger,see,affect,negate,home,conj,sexual,preps,ppron,death,pronoun,adverb,space,filler,ipron,anx,negemo,percept,future,quant,posemo,money,relativ,health,you,incl,achieve,relig,cogmech,tentat,time,humans,discrep,verb,leisure,inhib,hear,bio,article,excl,present,we,cause,work,ingest,motion,i,nonfl,swear,#total,social,friend,auxverb,shehe
2001 Game1-1,0.0,0.503355704698,0.0,52.1812080537,0.167785234899,0.0,1.1744966443,9.56375838926,4.86577181208,0.503355704698,4.19463087248,0.335570469799,0.335570469799,8.89261744966,3.02013422819,1.51006711409,10.067114094,0.0,7.21476510067,13.0872483221,0.0,17.2818791946,6.04026845638,4.19463087248,0.503355704698,4.19463087248,0.0,1.0067114094,1.1744966443,15.9395973154,0.671140939597,7.88590604027,0.0,11.0738255034,0.0,1.34228187919,6.37583892617,1.0067114094,0.0,14.932885906,2.18120805369,4.02684563758,0.167785234899,1.67785234899,31.3758389262,1.0067114094,1.34228187919,0.671140939597,0.335570469799,1.84563758389,1.34228187919,27.5167785235,1.84563758389,1.34228187919,0.0,0.335570469799,3.35570469799,8.72483221477,0.671140939597,0.167785234899,1,5.03355704698,0.0,22.8187919463,0.671140939597
2001 Game1-2,0.0925925925926,0.185185185185,0.0,53.5185185185,0.185185185185,0.37037037037,0.37037037037,3.14814814815,5.92592592593,0.277777777778,4.16666666667,0.0,0.185185185185,4.90740740741,3.33333333333,1.01851851852,6.85185185185,0.0,10.2777777778,10.0925925926,0.0,15.0925925926,4.62962962963,5.83333333333,0.0,5.0,0.0,1.01851851852,0.648148148148,14.1666666667,1.66666666667,3.7962962963,0.0,12.2222222222,0.0,4.07407407407,5.46296296296,0.648148148148,0.0,13.6111111111,0.925925925926,2.22222222222,0.0,2.77777777778,26.9444444444,1.01851851852,0.37037037037,0.277777777778,0.648148148148,4.07407407407,2.68518518519,22.2222222222,1.66666666667,1.2037037037,0.0925925925926,0.555555555556,3.51851851852,3.88888888889,0.648148148148,0.0,1,6.57407407407,0.0,19.7222222222,0.277777777778
2001 Game1-3,0.0,0.0,0.0,47.476635514,0.0,0.373831775701,1.1214953271,7.10280373832,6.54205607477,1.30841121495,3.36448598131,0.18691588785,0.0,6.35514018692,2.80373831776,2.24299065421,6.91588785047,0.0,8.41121495327,9.53271028037,0.0,14.5794392523,4.67289719626,4.11214953271,0.0,5.04672897196,0.0,1.68224299065,0.18691588785,12.7102803738,1.30841121495,4.48598130841,0.0,10.8411214953,0.0,1.30841121495,5.60747663551,1.30841121495,0.18691588785,14.2056074766,0.18691588785,1.8691588785,0.0,1.1214953271,27.8504672897,0.934579439252,2.24299065421,0.18691588785,0.373831775701,1.68224299065,1.1214953271,24.8598130841,1.30841121495,1.8691588785,0.0,0.373831775701,4.85981308411,6.91588785047,0.560747663551,0.18691588785,1,3.36448598131,0.0,17.7570093458,0.0
2052 Game1-1,0.0,0.826446280992,0.0,58.6776859504,0.413223140496,0.0,0.826446280992,9.9173553719,7.02479338843,0.206611570248,1.44628099174,0.0,0.619834710744,4.13223140496,3.92561983471,1.44628099174,10.7438016529,0.0,7.85123966942,11.7768595041,0.0,18.1818181818,5.99173553719,3.71900826446,0.0,6.40495867769,0.0,0.206611570248,1.23966942149,15.0826446281,1.23966942149,3.92561983471,0.0,10.1239669421,0.0,3.30578512397,5.1652892562,0.413223140496,0.0,9.71074380165,0.619834710744,4.13223140496,0.0,0.826446280992,28.0991735537,0.413223140496,0.206611570248,0.206611570248,0.413223140496,3.09917355372,1.23966942149,25.6198347107,0.413223140496,0.0,0.0,0.413223140496,2.06611570248,6.81818181818,0.413223140496,0.0,1,5.99173553719,0.0,22.520661157,0.413223140496
2052 Game1-2,0.0,0.0,0.0,54.6697038724,0.0,0.0,1.13895216401,11.3895216401,5.92255125285,0.683371298405,4.55580865604,0.0,0.0,7.74487471526,5.01138952164,1.36674259681,11.1617312073,0.0,7.28929384966,10.9339407745,0.0,15.7175398633,5.92255125285,3.87243735763,0.0,4.78359908884,0.0,0.683371298405,0.227790432802,14.3507972665,1.13895216401,7.06150341686,0.0,9.79498861048,0.0,3.87243735763,5.23917995444,0.455580865604,0.0,12.0728929385,0.683371298405,2.73348519362,0.0,2.05011389522,27.1070615034,0.683371298405,0.911161731207,0.227790432802,0.227790432802,1.59453302961,1.59453302961,23.2346241458,1.36674259681,0.455580865604,0.0,0.227790432802,2.96127562642,5.46697038724,0.0,0.0,1,5.69476082005,0.0,23.2346241458,0.227790432802
2052 Game1-3,0.0,0.227272727273,0.0,55.7954545455,0.0,0.227272727273,0.909090909091,8.97727272727,4.54545454545,0.227272727273,3.75,0.0,0.227272727273,6.59090909091,4.09090909091,0.795454545455,11.1363636364,0.0,8.86363636364,12.1590909091,0.0,16.7045454545,5.79545454545,4.43181818182,0.568181818182,4.54545454545,0.0,0.227272727273,0.454545454545,15.1136363636,0.681818181818,6.36363636364,0.0,10.1136363636,0.0,4.09090909091,5.34090909091,0.227272727273,0.113636363636,11.25,0.454545454545,4.43181818182,1.13636363636,1.93181818182,29.5454545455,0.227272727273,0.681818181818,0.227272727273,0.113636363636,2.5,0.681818181818,26.5909090909,1.93181818182,1.02272727273,0.0,0.113636363636,2.04545454545,5.68181818182,0.113636363636,0.0,1,8.06818181818,0.0,24.4318181818,0.227272727273
2101 Game1-1,0.0390777647519,0.547088706526,0.0,57.3661586557,0.234466588511,0.351699882767,1.83665494334,4.96287612349,3.90777647519,0.312622118015,3.94685423994,0.156311059007,0.586166471278,5.31457600625,4.33763188746,0.42985541227,9.65220789371,0.0,8.83157483392,12.5048847206,0.0,17.9757717859,8.59710824541,4.2985541227,1.36772176631,5.47088706526,0.0390777647519,0.62524423603,1.01602188355,15.5529503712,0.742477530285,4.68933177022,0.0390777647519,10.1602188355,0.0,3.90777647519,5.04103165299,0.703399765533,0.0,15.7874169597,2.07112153185,5.50996483001,0.0390777647519,1.79757717859,32.7471668621,0.390777647519,0.898788589293,0.195388823759,0.156311059007,3.1652989449,3.86869871043,29.5427901524,2.30558812036,1.60218835483,0.0,0.117233294256,1.91481047284,5.353653771,0.351699882767,0.0390777647519,1,8.32356389215,0.0,24.3454474404,0.390777647519
2101 Game1-2,0.0,0.266193433895,0.0,54.6583850932,0.354924578527,0.532386867791,0.621118012422,14.9068322981,5.8562555457,0.621118012422,4.52528837622,0.0,0.443655723159,8.34072759539,4.34782608696,0.798580301686,8.34072759539,0.0,7.09849157054,12.2448979592,0.0,17.5687666371,5.23513753327,2.83939662822,0.0,5.32386867791,0.177462289264,0.798580301686,1.41969831411,15.2617568767,0.976042590949,7.5421472937,0.0887311446318,8.16326530612,0.0,2.39574090506,5.8562555457,1.24223602484,0.0,12.777284827,1.33096716948,3.6379769299,0.0,1.59716060337,30.3460514641,0.621118012422,0.976042590949,0.532386867791,0.266193433895,1.50842945874,2.83939662822,27.4179236912,3.46051464064,0.709849157054,0.0,0.266193433895,1.50842945874,5.50133096717,0.709849157054,0.0,1,8.25199645075,0.0,24.6672582076,0.621118012422
2101 Game1-3,0.0,0.0861326442722,0.0,56.7614125754,0.0861326442722,0.689061154177,1.46425495263,9.73298880276,5.59862187769,0.430663221361,6.02928509905,0.0861326442722,0.0861326442722,8.09646856158,4.22049956934,0.602928509905,7.32127476314,0.0,7.32127476314,12.0585701981,0.0,17.5710594315,6.28768303187,3.61757105943,0.0,5.51248923342,0.0,0.516795865633,0.516795865633,16.8819982773,1.80878552972,7.57967269595,0.0,8.87166236003,0.0,2.58397932817,5.08182601206,0.689061154177,0.0,15.4177433247,1.72265288544,3.1007751938,0.0861326442722,3.61757105943,32.0413436693,0.602928509905,0.77519379845,0.344530577089,0.0,2.67011197244,3.01464254953,27.3040482343,3.1007751938,0.602928509905,0.0,0.0,2.06718346253,5.16795865633,0.430663221361,0.0,1,7.7519379845,0.0,25.9259259259,1.11972437554
