,LIWC_64_category
2001,12.9433120863
2052,13.6147647408
2101,7.26739342016
2152,7.64102999177
2201,8.99178844607
2252,3.66203383544
2301,1.81713784956
2352,12.3733092162
2401,13.1966435899
2452,0.552575737071
2501,10.4525748863
2552,10.5700574598
2601,15.0758582668
2652,13.0661564966
2701,-1.4244336914
2752,15.8501972489
2801,-3.86299915504
2852,-8.04770016009
2901,26.7244776807
2952,10.3261844776
3001,-2.2450581825
3052,0.842396576495
3101,-3.62166456611
3201,0.846802625156
3252,6.1674098614
3301,6.88461281557
3401,-11.5965395809
3452,1.87412163034
3501,-15.1143292746
3552,8.99151413394
3601,6.58714734502
4001,-11.3425663154
4052,-9.18205274553
4101,5.61673637389
4152,4.73598977185
4201,12.3801209344
4252,4.22762383011
4352,12.1120175877
4401,3.30333360404
4452,12.7519790382
4501,4.65764198865
4552,5.25430955766
4601,-0.289706385712
4652,3.41881172525
4701,-8.46316858203
4752,6.61679447393
4801,5.69118518894
4852,6.92478364695
4901,-0.579223529052
4952,0.0953594289658
5001,-2.61691678485
5052,4.03654304767
5101,12.3132043656
5152,2.70377595542
5201,8.83564051293
5252,-4.46881326563
5301,1.52454995539
5352,-19.303307153
5401,-3.80791489428
5452,5.73059787837
5501,3.0450842706
5552,14.8668311428
