,body,cogmech,family,funct,feel,money,insight,humans,number,sad,past,anger,see,article,negate,home,conj,sexual,negemo,pronoun,ppron,death,nonfl,adverb,space,filler,ipron,anx,preps,percept,swear,health,certain,relativ,quant,you,incl,achieve,#total,relig,bio,tentat,time,assent,discrep,leisure,verb,hear,they,affect,excl,Quote Marks,present,we,cause,work,ingest,motion,i,future,friend,posemo,auxverb,inhib,shehe,social
2952 Game1-2,0.0,11.2420670898,0.0,55.3943789665,0.0,0.0,0.997280145059,0.0,6.16500453309,0.453309156845,3.53581142339,0.0,0.815956482321,3.17316409791,2.53853127833,0.453309156845,6.4369900272,0.0,0.725294650952,18.1323662738,10.3354487761,0.0,0.090661831369,5.62103354488,5.43970988214,0.271985494107,7.79691749773,0.090661831369,8.43155031732,1.26926563917,0.0,0.0,0.090661831369,11.3327289211,2.17588395286,2.6291931097,3.71713508613,1.1786038078,1,0.0,0.271985494107,2.44786944696,3.26382592928,8.88485947416,2.35720761559,1.4505893019,29.0117860381,0.453309156845,0.634632819583,6.61831368994,1.63191296464,0.181323662738,26.291931097,1.63191296464,1.1786038078,0.181323662738,0.271985494107,2.90117860381,5.16772438803,13.1459655485,0.0,5.89301903898,21.5775158658,0.362647325476,0.271985494107,6.70897552131
2952 Game1-3,0.126342387871,13.708149084,0.0,55.2116234997,0.126342387871,0.252684775742,1.958307012,0.189513581807,5.05369551485,0.631711939356,3.97978521794,0.252684775742,1.01073910297,4.35881238155,3.85344283007,0.631711939356,6.44346178143,0.0,1.13708149084,17.624763108,11.3708149084,0.0,0.505369551485,6.00126342388,4.8010107391,0.0631711939356,6.25394819962,0.0631711939356,7.58054327227,1.45293746052,0.0631711939356,0.0,0.694883133291,11.5603284902,1.20025268478,2.21099178774,3.34807327858,0.758054327227,1,0.126342387871,0.126342387871,3.41124447252,3.28490208465,9.53885028427,1.01073910297,1.0739102969,31.396083386,0.315855969678,0.252684775742,4.73783954517,2.90587492104,0.126342387871,27.7321541377,1.64245104232,1.32659507265,0.252684775742,0.0,3.47441566646,6.94883133291,15.3506001263,0.0,3.60075805433,23.6891977258,1.0739102969,0.315855969678,5.62223626027
3001 Game1-1,0.0,12.6425855513,0.0,62.8326996198,0.0,0.0,0.570342205323,0.0,6.65399239544,0.760456273764,3.42205323194,0.190114068441,0.190114068441,2.94676806084,3.51711026616,0.855513307985,8.74524714829,0.0,1.23574144487,20.1520912548,11.6920152091,0.0,0.570342205323,7.31939163498,4.27756653992,0.285171102662,8.46007604563,0.0,8.26996197719,0.665399239544,0.0,0.0950570342205,0.570342205323,14.4486692015,1.71102661597,4.65779467681,2.56653992395,0.855513307985,1,0.380228136882,0.0950570342205,3.80228136882,5.70342205323,6.27376425856,1.99619771863,1.61596958175,31.1787072243,0.475285171103,0.570342205323,4.46768060837,2.7566539924,0.190114068441,27.4714828897,0.950570342205,0.855513307985,0.190114068441,0.0,4.46768060837,5.41825095057,16.5399239544,0.0,3.2319391635,25.6653992395,0.950570342205,0.0950570342205,7.12927756654
3001 Game1-2,0.0,18.1259600614,0.0,57.2964669739,0.307219662058,0.0,0.614439324117,0.307219662058,5.68356374808,0.768049155146,5.06912442396,0.0,0.0,3.07219662058,2.76497695853,1.53609831029,11.5207373272,0.0,1.0752688172,15.2073732719,9.83102918587,0.0,0.0,7.98771121352,3.07219662058,0.307219662058,5.37634408602,0.0,7.06605222734,1.0752688172,0.0,0.0,0.307219662058,8.29493087558,0.921658986175,1.0752688172,7.68049155146,0.460829493088,1,0.460829493088,0.460829493088,1.22887864823,3.6866359447,10.9062980031,1.99692780338,1.53609831029,26.574500768,0.460829493088,0.307219662058,7.21966205837,3.99385560676,0.307219662058,22.4270353303,2.15053763441,1.22887864823,0.0,0.460829493088,1.68970814132,5.83717357911,12.7496159754,0.0,6.14439324117,20.1228878648,1.38248847926,0.460829493088,5.83717357911
3001 Game1-3,0.0,17.6341730559,0.0,53.6692223439,0.328587075575,0.0,0.876232201533,0.219058050383,3.9430449069,0.109529025192,3.72398685652,0.109529025192,0.547645125958,2.30010952903,2.95728368018,0.65717415115,8.43373493976,0.0,0.438116100767,16.6484118291,10.1861993428,0.0,0.109529025192,5.80503833516,5.14786418401,1.97152245345,6.46221248631,0.109529025192,7.22891566265,1.3143483023,0.219058050383,0.0,1.09529025192,13.143483023,1.64293537788,5.58598028478,3.61445783133,0.438116100767,1,0.0,0.219058050383,3.61445783133,6.46221248631,9.74808324206,3.72398685652,0.985761226725,28.6966046002,0.438116100767,0.0,5.58598028478,4.16210295728,0.219058050383,24.3154435926,0.876232201533,1.97152245345,0.109529025192,0.219058050383,3.61445783133,3.17634173056,14.4578313253,0.0,5.14786418401,21.2486308872,0.876232201533,0.547645125958,8.76232201533
3001 Game1-4,0.0,16.5125495376,0.0,59.8414795244,0.0,0.0,1.32100396301,0.0,5.68031704095,0.528401585205,5.01981505945,0.0,0.264200792602,3.56671070013,2.37780713342,1.32100396301,13.8705416116,0.0,0.924702774108,15.3236459709,9.64332892999,0.0,0.396301188904,7.13342140026,4.22721268164,0.924702774108,5.68031704095,0.132100396301,8.85072655218,0.528401585205,0.0,0.0,0.396301188904,11.3606340819,1.18890356671,3.96301188904,5.81241743725,0.528401585205,1,0.396301188904,0.132100396301,2.77410832232,5.28401585205,9.51122853369,4.49141347424,1.05680317041,25.2311756935,0.264200792602,0.264200792602,6.60501981506,3.43461030383,0.264200792602,20.7397622193,1.32100396301,0.924702774108,0.0,0.132100396301,3.03830911493,3.43461030383,13.4742404227,0.0,5.68031704095,20.2113606341,0.528401585205,0.660501981506,7.00132100396
3052 Game1-1,0.105374077977,18.018967334,0.0,51.6332982086,0.210748155954,0.105374077977,1.05374077977,0.105374077977,3.26659641728,0.737618545838,5.9009483667,0.0,0.31612223393,2.7397260274,2.00210748156,1.05374077977,10.0105374078,0.0,0.842992623815,15.8061116965,11.1696522655,0.0,0.421496311907,8.42992623815,5.79557428872,0.526870389884,4.63645943098,0.0,6.63856691254,0.842992623815,0.0,0.105374077977,1.58061116965,14.2255005269,1.89673340358,3.37197049526,7.16543730242,0.842992623815,1,0.421496311907,0.210748155954,2.7397260274,4.84720758693,9.27291886196,2.42360379347,1.79135932561,26.9757639621,0.31612223393,0.31612223393,6.84931506849,2.84510010537,0.210748155954,23.1822971549,2.63435194942,1.68598524763,0.105374077977,0.0,4.21496311907,4.63645943098,12.8556375132,0.0,6.00632244468,19.2834562698,0.737618545838,0.210748155954,6.95468914647
3052 Game1-2,0.108225108225,8.98268398268,0.0,53.7878787879,0.108225108225,0.541125541126,0.4329004329,0.0,4.43722943723,0.4329004329,2.92207792208,0.0,0.21645021645,3.67965367965,3.0303030303,0.757575757576,6.49350649351,0.0,0.649350649351,15.9090909091,8.65800865801,0.0,0.649350649351,6.27705627706,5.73593073593,0.21645021645,7.25108225108,0.0,9.84848484848,0.757575757576,0.0,0.108225108225,0.757575757576,12.987012987,1.2987012987,2.81385281385,2.81385281385,0.865800865801,1,0.324675324675,0.324675324675,1.62337662338,3.57142857143,12.7705627706,1.19047619048,0.757575757576,24.6753246753,0.4329004329,0.4329004329,8.22510822511,1.2987012987,0.21645021645,21.645021645,0.757575757576,0.649350649351,0.0,0.108225108225,3.67965367965,4.11255411255,10.7142857143,0.0,7.57575757576,19.2640692641,0.4329004329,0.541125541126,5.84415584416
3052 Game1-3,0.0516262261229,14.713474445,0.0,57.7181208054,1.08415074858,0.154878678369,0.877645844089,0.567888487352,3.87196695922,0.0516262261229,4.69798657718,0.103252452246,0.309757356737,2.83944243676,4.02684563758,0.929272070212,7.74393391843,0.0,0.36138358286,17.6045431079,10.944759938,0.0,0.309757356737,9.49922560661,5.57563242127,0.206504904491,6.65978316985,0.0516262261229,8.15694372741,1.75529168818,0.0,0.0,0.619514713474,13.2679401136,1.49716055756,4.64636035106,5.31750129066,0.567888487352,1,0.103252452246,0.154878678369,2.06504904491,5.05937016004,6.81466184822,2.52968508002,0.72276716572,30.8208569954,0.36138358286,0.309757356737,8.67320598864,2.4780588539,0.103252452246,26.7423851316,1.85854414042,1.23902942695,0.0,0.103252452246,2.89106866288,3.82034073309,13.5776974703,0.0,8.31182240578,22.5090345896,0.619514713474,0.309757356737,8.26019617966
3101 Game1-1,0.0,14.6050670641,0.0,55.2906110283,0.149031296572,0.149031296572,1.04321907601,0.149031296572,5.21609538003,0.745156482861,3.12965722802,0.0,0.596125186289,1.19225037258,5.81222056632,1.19225037258,8.64381520119,0.0,1.19225037258,16.9895678092,8.94187779434,0.0,0.0,7.89865871833,4.02384500745,0.447093889717,8.0476900149,0.0,6.25931445604,1.34128166915,0.0,0.0,1.6393442623,11.4754098361,1.49031296572,3.27868852459,3.72578241431,1.04321907601,1,0.447093889717,0.0,1.78837555887,4.61997019374,12.8166915052,2.08643815201,0.894187779434,29.0611028316,0.596125186289,0.298062593145,9.09090909091,3.42771982116,0.298062593145,25.782414307,0.596125186289,0.596125186289,0.149031296572,0.0,2.98062593145,4.61997019374,12.6676602086,0.0,7.89865871833,22.5037257824,1.93740685544,0.149031296572,5.3651266766
