,LIWC_Top25Words_corpus_Highest_funct@partnerDiff,LIWC_Top25Words_corpus_Highest_funct@otherDiff
2001,0.153658871803,0.191634209568
2052,0.169972858272,0.185485472996
2101,0.139131134907,0.158720720833
2152,0.160817829388,0.167320042556
2201,0.134812286275,0.151831373078
2252,0.241926571407,0.210609573798
2301,0.244784649907,0.216481915579
2352,0.135772228582,0.157962908443
2401,0.142385949539,0.15867342716
2452,0.227474225677,0.200450276814
2501,0.177709848087,0.17272105564
2552,0.213565079215,0.187004196527
2601,0.159539553984,0.15689669661
2652,0.142935547613,0.154522547818
2701,0.164305391578,0.166290627411
2752,0.105169319423,0.148656974376
2801,0.152673233529,0.16175095332
2852,0.167151764812,0.163824493109
2901,0.0922521435055,0.151664248698
2952,0.169800703224,0.174047131418
3001,0.202919854672,0.186333755509
3052,0.133745708036,0.161063899817
3101,0.169956628424,0.167662006932
3201,0.139012253356,0.161286593532
3252,0.139354354612,0.152102434594
3301,0.0932539699358,0.14629435112
3401,0.227123082573,0.187954018314
3452,0.142767929388,0.157921635458
3501,0.175280696308,0.172250040734
3552,0.128297999445,0.15441364345
3601,0.170721553406,0.169344555666
4001,0.181707272999,0.174097754984
4052,0.127699371692,0.151643195234
4101,0.178367281896,0.186234314418
4152,0.153414087915,0.165155465432
4201,0.126488724277,0.155550028375
4252,0.138554642575,0.157743081794
4352,0.12298897157,0.14736558223
4401,0.149968964431,0.162442965634
4452,0.114990906665,0.152034022606
4501,0.157020365583,0.162278272404
4552,0.123097997676,0.148125048719
4601,0.19779227293,0.174144494716
4652,0.126558987398,0.156128866157
4701,0.17372147465,0.165124122504
4752,0.154070344125,0.159118670324
4801,0.127565012563,0.159697269119
4852,0.158413533484,0.16667272879
4901,0.171853314081,0.163573548786
4952,0.15117239451,0.160337457108
5001,0.200077854811,0.191931480761
5052,0.145030239024,0.164421457258
5101,0.225181449445,0.196433828019
5152,0.129981311709,0.15898462907
5201,0.146962078862,0.160297251133
5252,0.206884899283,0.183407302959
5301,0.17228462853,0.177194598282
5352,0.210878899563,0.20295944407
5401,0.193238353765,0.181475947981
5452,0.130727284345,0.155831413061
5501,0.149751201135,0.160688656707
5552,0.111071424527,0.168045213577
