,LIWC_64_category
2001,4.34216039054
2052,5.80437633218
2101,3.15975731935
2152,2.52642753004
2201,0.319775607738
2252,0.929906648634
2301,2.9586606339
2352,2.93729606933
2401,4.32850204947
2452,-1.91833019341
2501,1.59175207745
2552,1.89826037818
2601,3.75051039658
2652,1.84806678905
2701,-0.940182129021
2752,3.49844331265
2801,-3.52215389083
2852,-2.2947977206
2901,7.72290916837
2952,4.59032788035
3001,0.910491980994
3052,-1.11011817067
3101,-1.82160640882
3201,1.65109808675
3252,1.08532873445
3301,4.0429442034
3401,-1.22999739457
3452,-0.653687962316
3501,-7.15510917083
3552,0.534075364491
3601,0.989884502478
4001,-1.63728543578
4052,-1.85724414462
4101,-0.363237933461
4152,5.09466828712
4201,5.12057038705
4252,1.85123960951
4352,2.3357531842
4401,0.552515313852
4452,3.51206611758
4501,2.03282389303
4552,2.26924503392
4601,-2.37411899623
4652,1.27690534415
4701,-1.9801655124
4752,0.774721312087
4801,0.835563099863
4852,1.92052765098
4901,0.926811910337
4952,-1.07162557483
5001,2.21522673008
5052,-0.0746818978951
5101,3.9425901476
5152,0.172837908744
5201,1.39794593027
5252,0.193096572101
5301,2.80352659578
5352,-2.98343183794
5401,0.246070952711
5452,1.0075208799
5501,1.8655504053
5552,4.79791430102
