,ppron,adverb,preps,verb,quant,negate,auxverb,conj,#total
2252 Game1-4,10.75949367,11.39240506,3.164556962,26.58227848,0.632911392,3.797468354,19.62025316,24.6835443,1
2301 Game1-1,11.02040816,8.775510204,7.755102041,26.73469388,0.816326531,2.448979592,20.40816327,11.83673469,1
2301 Game1-2,9.693877551,7.653061224,5.102040816,26.02040816,1.020408163,2.040816327,18.36734694,9.693877551,1
2301 Game1-3,9.033613445,4.831932773,11.34453782,22.68907563,1.680672269,2.100840336,16.38655462,10.50420168,1
2352 Game1-1,9.973579921,10.10568032,6.142668428,29.92073976,1.387054161,3.5667107,22.32496697,10.7001321,1
2352 Game1-2,9.827586207,6.810344828,7.155172414,28.96551724,1.120689655,2.586206897,22.06896552,8.620689655,1
2352 Game1-3,13.10228233,6.931530008,7.18512257,32.03719358,1.775147929,4.395604396,25.19019442,8.960270499,1
2352 Game1-4,11.68741355,7.745504841,5.878284924,30.29045643,1.244813278,5.325034578,23.78976487,10.71922545,1
2401 Game1-1,12.40179574,8.698092031,7.295173962,31.70594837,1.739618406,4.04040404,25.81369248,7.407407407,1
2401 Game1-2,13.21867322,8.796068796,8.206388206,31.44963145,1.818181818,4.029484029,25.15970516,10.27027027,1
2401 Game1-3,11.03896104,10.63936064,7.292707293,29.37062937,1.398601399,3.946053946,22.77722278,12.33766234,1
2452 Game1-1,10.9352518,7.194244604,4.892086331,24.02877698,2.014388489,3.309352518,18.70503597,10.50359712,1
2452 Game1-2,11.80502666,7.311500381,6.473724296,29.55064737,1.675552171,3.808073115,22.92460015,7.768469155,1
2452 Game1-3,9.579831933,6.722689076,8.907563025,20.50420168,3.697478992,2.016806723,16.97478992,13.44537815,1
2501 Game1-1,10.7027027,6.054054054,8.324324324,29.94594595,1.837837838,4.432432432,22.48648649,9.72972973,1
2501 Game1-2,9.508547009,9.294871795,8.11965812,27.02991453,1.388888889,4.05982906,19.87179487,7.692307692,1
2501 Game1-3,11.14922813,6.518010292,9.262435678,30.36020583,1.02915952,2.744425386,24.52830189,6.346483705,1
2501 Game1-4,10.45081967,6.762295082,10.6557377,26.02459016,1.844262295,2.663934426,19.87704918,8.401639344,1
2552 Game1-1,11.97718631,14.06844106,7.224334601,33.65019011,0.760456274,3.041825095,27.94676806,12.35741445,1
2552 Game1-2,11.24282983,10.09560229,9.560229446,28.14531549,1.567877629,3.250478011,22.48565966,10.82217973,1
2552 Game1-3,12.85226302,7.301451751,7.344150299,34.28693424,1.238257899,4.184457728,27.28437233,11.31511529,1
2601 Game1-1,13.65108746,8.375751967,7.866728367,30.68024063,2.128644146,3.516890329,22.48958815,10.59694586,1
2601 Game1-2,10.65640194,9.562398703,8.549432739,27.99837925,2.106969206,2.350081037,22.44732577,12.43922204,1
2601 Game1-3,12.70949721,10.05586592,7.262569832,32.12290503,0.977653631,2.653631285,24.30167598,10.47486034,1
2652 Game1-1,9.773662551,8.436213992,6.687242798,25.30864198,1.646090535,2.263374486,19.34156379,8.744855967,1
2652 Game1-2,12.01492537,7.537313433,6.119402985,29.25373134,0.746268657,4.925373134,21.11940299,8.805970149,1
2652 Game1-3,12.17391304,8.074534161,6.708074534,30.1863354,1.242236025,3.105590062,22.60869565,11.30434783,1
2701 Game1-1,12.73450824,8.015918135,9.32347925,32.68902786,1.478112564,4.661739625,24.84366117,10.74474133,1
2701 Game1-2,10.24622716,10.4050834,8.339952343,25.89356632,0.873709293,3.89197776,20.01588562,10.8816521,1
2701 Game1-3,10.96579477,6.639839034,6.941649899,28.16901408,2.012072435,3.621730382,22.2334004,11.87122736,1
2752 Game1-1,12.73983116,7.214121259,8.749040675,32.69378358,1.8419033,3.300076746,25.40291635,9.2095165,1
2752 Game1-2,12.26597805,7.811491285,8.844415752,31.95610071,2.001291156,3.615235636,23.75726275,6.972240155,1
2752 Game1-3,10.97922849,7.34421365,8.382789318,32.1958457,2.37388724,3.635014837,23.4421365,9.272997033,1
2752 Game1-4,10.49671978,9.184629803,8.762886598,26.80412371,1.124648547,3.373945642,19.96251172,8.200562324,1
2801 Game1-1,8.372093023,7.441860465,7.829457364,23.72093023,1.085271318,2.868217054,17.6744186,9.92248062,1
2801 Game1-2,9.270216963,9.418145957,11.88362919,27.31755424,2.120315582,2.810650888,20.21696252,10.25641026,1
2801 Game1-3,11.34453782,10.44417767,8.523409364,32.71308523,1.200480192,3.301320528,26.2304922,8.463385354,1
2852 Game1-1,14.44521982,6.908583391,5.373342638,34.26378227,0.976971389,2.791346825,25.33147244,8.025122121,1
2852 Game1-2,10.97046414,8.438818565,6.751054852,25.3164557,1.265822785,4.430379747,19.19831224,11.39240506,1
2852 Game1-3,11.29220023,8.963911525,7.217694994,27.35739232,1.51338766,4.772991851,19.90686845,9.895227008,1
2852 Game1-4,12.40458015,9.223918575,9.064885496,34.60559796,2.86259542,4.611959288,25.89058524,7.697201018,1
2901 Game1-1,11.06971794,7.823310271,9.260244811,31.61255987,1.330494944,3.778605641,24.48110697,10.43108036,1
2901 Game1-2,12.21985059,9.765208111,8.004268943,32.6040555,1.600853789,3.735325507,24.91995731,10.08537887,1
2901 Game1-3,11.85318893,10.16847172,7.34055355,31.40794224,2.045728039,4.151624549,23.58604091,10.83032491,1
2952 Game1-1,13.29431438,6.35451505,10.86956522,32.02341137,1.254180602,2.591973244,24.41471572,7.943143813,1
2952 Game1-2,10.33544878,5.621033545,8.431550317,29.01178604,2.175883953,2.538531278,21.57751587,6.436990027,1
2952 Game1-3,11.37081491,6.001263424,7.580543272,31.39608339,1.200252685,3.85344283,23.68919773,6.443461781,1
3001 Game1-1,11.69201521,7.319391635,8.269961977,31.17870722,1.711026616,3.517110266,25.66539924,8.745247148,1
3001 Game1-2,9.831029186,7.987711214,7.066052227,26.57450077,0.921658986,2.764976959,20.12288786,11.52073733,1
3001 Game1-3,10.18619934,5.805038335,7.228915663,28.6966046,1.642935378,2.95728368,21.24863089,8.43373494,1
3001 Game1-4,9.64332893,7.1334214,8.850726552,25.23117569,1.188903567,2.377807133,20.21136063,13.87054161,1
3052 Game1-1,11.16965227,8.429926238,6.638566913,26.97576396,1.896733404,2.002107482,19.28345627,10.01053741,1
3052 Game1-2,8.658008658,6.277056277,9.848484848,24.67532468,1.298701299,3.03030303,19.26406926,6.493506494,1
3052 Game1-3,10.94475994,9.499225607,8.156943727,30.820857,1.497160558,4.026845638,22.50903459,7.743933918,1
3101 Game1-1,8.941877794,7.898658718,6.259314456,29.06110283,1.490312966,5.812220566,22.50372578,8.643815201,1
3101 Game1-2,10.63829787,8.510638298,8.193752829,27.70484382,1.720235401,3.033046627,21.50294251,13.80715256,1
3101 Game1-3,9.220636663,6.915477497,9.001097695,26.12513721,1.427003293,3.512623491,19.09989023,12.18441273,1
3101 Game1-4,13.04681504,9.976976209,6.216423638,33.00076746,1.381427475,3.760552571,25.24942441,8.518802763,1
3201 Game1-1,9.750927398,8.532061473,8.214096449,27.39798622,0.79491256,2.013778484,20.72072072,12.34764176,1
3201 Game1-2,9.130645945,7.479358912,10.05342399,23.79796017,1.408450704,1.45701797,16.99854298,9.422049539,1
3201 Game1-3,9.46930281,9.365244537,9.157127992,30.38501561,1.873048907,2.913631634,20.60353798,7.49219563,1
3252 Game1-1,11.95092996,10.84289672,6.88563514,30.74792244,1.820340325,4.194697269,23.66442422,12.74238227,1
3252 Game1-2,10.44133477,7.319698601,8.503767492,27.34122713,2.583423036,2.798708288,20.77502691,10.5489774,1
3252 Game1-3,10.17214398,11.65884194,8.294209703,27.46478873,2.89514867,2.034428795,20.657277,8.920187793,1
3301 Game1-1,9.150326797,9.586056645,6.899055919,22.51270879,1.089324619,4.212055192,16.99346405,8.569353667,1
3301 Game1-2,10.11730205,6.158357771,5.64516129,25.4398827,0.513196481,3.812316716,18.18181818,7.991202346,1
3301 Game1-3,9.648466717,8.451757666,6.058339566,28.04786836,1.495886313,2.991772625,21.31637996,9.798055348,1
3401 Game1-1,7.192575406,6.496519722,7.656612529,29.46635731,0.696055684,2.320185615,19.02552204,4.176334107,1
3401 Game1-2,9.452389257,6.69689571,8.99895361,25.35751657,2.023020579,2.127659574,18.34670387,7.045692361,1
3401 Game1-3,11.62377995,7.187222715,5.678793256,30.6122449,1.330967169,4.968944099,23.69121562,8.695652174,1
3452 Game1-1,12.16216216,7.47217806,8.26709062,29.88871224,1.907790143,4.610492846,21.62162162,7.949125596,1
3452 Game1-2,9.034907598,6.707734428,6.741957563,24.67488022,2.600958248,3.490759754,17.89869952,12.62833676,1
3452 Game1-3,12.84495735,8.278976417,7.576517812,31.20923231,1.655795283,4.31510286,23.83341696,8.580030105,1
3452 Game1-4,12.27409639,4.894578313,9.713855422,29.81927711,1.807228916,4.36746988,22.66566265,6.325301205,1
3501 Game1-1,8.620689655,7.471264368,8.189655172,22.55747126,0.718390805,3.735632184,16.23563218,10.48850575,1
3501 Game1-2,10.20228672,8.883025506,9.322779244,34.74054529,1.671064204,2.638522427,26.03342128,8.091468777,1
3501 Game1-3,12.08372978,7.42150333,6.660323501,29.49571836,1.522359657,4.852521408,24.16745956,13.03520457,1
3552 Game1-1,12.31884058,8.6352657,7.789855072,31.52173913,1.871980676,3.925120773,24.21497585,8.393719807,1
3552 Game1-2,10.54787506,7.270865335,7.629288274,29.1858679,2.406554019,3.277009729,21.96620584,6.707629288,1
3552 Game1-3,9.587513935,8.807134894,7.469342252,24.97212932,1.783723523,4.347826087,18.84057971,6.577480491,1
3552 Game1-4,12.19204043,7.517372078,6.696146557,33.3543904,0.505369551,2.653190145,24.38408086,8.843967151,1
3601 Game1-1,10.59225513,8.086560364,6.378132118,30.23917995,1.765375854,3.872437358,24.20273349,9.453302961,1
3601 Game1-2,11.39166177,8.191426894,9.51262478,28.56723429,1.203758074,2.730475631,21.8144451,10.45214328,1
3601 Game1-3,13.7254902,12.58169935,5.964052288,31.69934641,1.552287582,3.594771242,24.91830065,11.4379085,1
4001 Game1-1,10.08206331,8.382180539,6.506447831,29.66002345,1.699882767,3.86869871,21.57092614,10.78546307,1
4001 Game1-2,11.25723304,6.733298264,9.573908469,29.35297212,1.525512888,4.839558127,21.19936875,8.784850079,1
4001 Game1-3,10.93871218,8.533747091,7.913110939,28.62684251,2.637703646,2.715283165,21.79984484,9.076803724,1
4001 Game1-4,8.333333333,5.357142857,7.142857143,20.83333333,2.380952381,2.380952381,14.88095238,4.761904762,1
4052 Game1-1,10.10209565,8.812466416,8.866200967,30.03761419,1.934443847,3.65394949,23.26706072,9.40354648,1
4052 Game1-2,7.862679956,6.866002215,6.644518272,23.14507198,1.107419712,2.436323367,16.1683278,9.19158361,1
4052 Game1-3,11.47208122,5.989847716,7.817258883,28.02030457,1.116751269,4.873096447,20.60913706,9.035532995,1
4101 Game1-1,11.6966581,6.426735219,9.640102828,28.27763496,0.642673522,3.213367609,20.30848329,9.383033419,1
4101 Game1-2,9.178743961,5.555555556,9.178743961,23.1884058,0.724637681,4.106280193,17.14975845,9.178743961,1
4101 Game1-3,13.56238698,8.137432188,7.233273056,30.19891501,1.084990958,4.701627486,24.59312839,10.12658228,1
4101 Game1-4,11.9205298,6.953642384,6.953642384,27.81456954,0.662251656,2.649006623,21.19205298,6.291390728,1
4152 Game1-1,9.743135518,8.414526129,7.971656333,27.19220549,1.15146147,2.745792737,21.16917626,11.24889283,1
4152 Game1-2,8.675373134,8.208955224,6.71641791,24.16044776,0.746268657,2.705223881,18.47014925,9.514925373,1
4152 Game1-3,8.808808809,7.207207207,9.90990991,27.52752753,1.601601602,2.602602603,20.82082082,8.908908909,1
4201 Game1-1,9.115646259,5.170068027,7.619047619,26.12244898,1.496598639,2.31292517,17.41496599,8.027210884,1
4201 Game1-2,10.03460208,5.305651672,8.419838524,29.29642445,1.268742791,2.998846597,22.26066897,8.881199539,1
4201 Game1-3,10.16365202,6.976744186,8.527131783,26.52885444,2.067183463,3.01464255,18.60465116,10.07751938,1
4252 Game1-1,12.8600823,6.58436214,8.641975309,32.09876543,1.543209877,4.835390947,24.27983539,8.230452675,1
4252 Game1-2,12.55813953,12.62458472,8.03986711,31.02990033,0.930232558,4.318936877,23.78737542,9.102990033,1
4252 Game1-3,11.8556701,7.216494845,6.701030928,29.89690722,0.386597938,4.12371134,21.13402062,9.664948454,1
4252 Game1-4,9.914429035,8.852168781,7.819415757,28.47447625,2.03599882,3.511360283,21.24520508,9.471820596,1
4352 Game1-1,10.85972851,6.108597285,6.425339367,29.72850679,0.814479638,3.122171946,21.13122172,8.190045249,1
4352 Game1-2,12.47585941,8.76786404,9.578988026,31.09308613,1.506373117,4.094244882,23.71572036,11.08536114,1
4352 Game1-3,12.17129977,8.11419985,9.466566491,31.25469572,2.028549962,4.282494365,22.23891811,8.940646131,1
4401 Game1-1,9.071038251,7.978142077,6.229508197,26.01092896,1.202185792,2.732240437,19.67213115,9.836065574,1
4401 Game1-2,12.43567753,7.461406518,7.032590051,30.70325901,0.600343053,4.802744425,23.75643225,9.862778731,1
4401 Game1-3,11.73260573,7.503410641,8.594815825,26.46657572,1.773533424,1.773533424,20.05457026,11.59618008,1
4452 Game1-1,10.7495069,8.382642998,6.41025641,32.24852071,1.512163051,4.83234714,25.54240631,6.41025641,1
4452 Game1-2,12.08316987,7.296979208,7.296979208,31.62024323,1.137701059,3.413103178,23.26402511,7.532365634,1
4452 Game1-3,11.5034778,9.523809524,7.223113965,27.12680578,1.284109149,4.012841091,20.70626003,8.935259497,1
4452 Game1-4,12.68796992,7.706766917,7.330827068,30.54511278,1.315789474,5.45112782,23.68421053,8.364661654,1
4501 Game1-1,11.22362869,10.46413502,6.41350211,34.76793249,0.928270042,3.459915612,25.82278481,8.691983122,1
4501 Game1-2,10.41281577,8.564386938,6.469500924,29.45163278,1.478743068,3.758471966,20.33271719,10.1047443,1
4501 Game1-3,11.83879093,9.823677582,6.801007557,32.74559194,2.518891688,6.297229219,26.19647355,8.564231738,1
4501 Game1-4,11.13744076,7.345971564,6.990521327,30.92417062,1.895734597,5.213270142,21.44549763,5.450236967,1
4552 Game1-1,11.79775281,8.764044944,7.303370787,32.35955056,1.685393258,4.157303371,26.62921348,7.528089888,1
4552 Game1-2,10.52631579,6.930693069,7.816571131,30.06774362,1.6154247,2.918186556,21.6258468,9.223553934,1
4552 Game1-3,14.94252874,8.764367816,7.686781609,34.5545977,1.58045977,5.459770115,25.64655172,9.123563218,1
4601 Game1-1,10.11396011,7.407407407,6.125356125,31.90883191,0.712250712,3.988603989,25.4985755,12.10826211,1
4601 Game1-2,9.722222222,6.652046784,7.967836257,26.82748538,1.608187135,2.777777778,19.00584795,10.67251462,1
4601 Game1-3,14.76137625,11.43174251,6.381798002,32.29744728,1.942286349,6.770255272,25.19422863,12.48612653,1
4652 Game1-1,10.35781544,8.757062147,9.22787194,28.15442561,2.071563089,2.919020716,20.80979284,10.73446328,1
4652 Game1-2,12.89984268,6.659674882,10.59255375,30.09963293,2.46460409,3.460933403,23.54483482,8.862087048,1
4652 Game1-3,8.931185944,5.563689605,8.199121523,24.89019034,1.317715959,2.928257687,19.6193265,8.052708638,1
4652 Game1-4,10.17677974,8.886765409,11.80124224,29.76588629,2.293358815,3.726708075,21.64357382,7.883420927,1
4701 Game1-1,8.382066277,9.681611436,7.667316439,26.18583496,1.689408707,2.923976608,20.79272255,7.277452891,1
4701 Game1-2,9.884169884,8.223938224,8.146718147,28.22393822,1.583011583,2.123552124,21.62162162,6.756756757,1
4701 Game1-3,13.26228538,8.762581409,9.82830077,31.97158082,1.53937241,4.618117229,24.3339254,12.19656602,1
4752 Game1-1,13.03630363,7.838283828,7.343234323,31.93069307,0.99009901,4.331683168,22.93729373,7.920792079,1
4752 Game1-2,8.680142687,9.393579073,8.561236623,24.85136742,1.664684899,3.448275862,18.43043995,11.05826397,1
4752 Game1-3,14.28571429,8.849557522,7.648546144,32.04804046,1.074589128,5.752212389,24.02022756,7.96460177,1
4752 Game1-4,12.55783212,9.517514871,8.856576338,31.3945803,2.048909451,4.692663582,23.06675479,8.658294779,1
4801 Game1-1,8.8639201,9.925093633,8.177278402,25.03121099,1.810237204,2.559300874,19.28838951,9.737827715,1
4801 Game1-2,10.52937755,9.016870273,8.202443281,31.70447935,1.512507272,3.606748109,24.31646306,11.11111111,1
4801 Game1-3,11.47298298,8.43819393,7.25388601,28.49740933,1.18430792,2.51665433,21.02146558,9.992598076,1
4852 Game1-1,10.92985318,8.564437194,9.135399674,29.60848287,2.446982055,3.915171289,22.51223491,11.41924959,1
4852 Game1-2,12.7388535,6.157112527,10.82802548,31.84713376,1.486199575,4.883227176,23.56687898,9.341825902,1
4852 Game1-3,13.07929969,8.650875386,10.5046344,30.79299691,2.162718847,4.11946447,22.65705458,12.46138002,1
4852 Game1-4,7.98245614,10.78947368,9.298245614,27.28070175,1.929824561,4.122807018,19.21052632,10.0877193,1
4901 Game1-1,9.710144928,10.57971014,5.942028986,26.8115942,0.724637681,2.898550725,21.01449275,6.231884058,1
4901 Game1-2,12.35955056,6.991260924,7.865168539,32.70911361,0.624219725,5.368289638,22.47191011,6.741573034,1
4901 Game1-3,9.732360097,9.124087591,7.055961071,30.0486618,0.729927007,4.01459854,22.26277372,9.732360097,1
4952 Game1-1,8.641975309,7.901234568,8.641975309,22.83950617,0.987654321,3.209876543,17.40740741,11.48148148,1
4952 Game1-2,10.85766423,6.843065693,9.032846715,26.82481752,1.277372263,2.46350365,20.71167883,7.299270073,1
4952 Game1-3,13.15496098,7.803790412,10.25641026,31.99554069,1.783723523,3.344481605,24.97212932,9.364548495,1
4952 Game1-4,9.535452323,6.356968215,6.356968215,27.01711491,0.855745721,3.056234719,20.53789731,9.290953545,1
5001 Game1-1,7.876712329,10.95890411,8.276255708,20.49086758,1.198630137,2.111872146,14.7260274,13.07077626,1
5001 Game1-2,11.94770063,8.295761948,10.50495942,25.51848512,1.217312895,4.598737601,20.37871957,9.062218215,1
5001 Game1-3,6.167400881,7.04845815,7.158590308,22.02643172,0.330396476,1.651982379,15.4185022,9.36123348,1
5052 Game1-1,12.19715957,9.941520468,7.435254804,32.58145363,1.921470343,4.511278195,24.31077694,8.270676692,1
5052 Game1-2,8.520900322,6.109324759,6.591639871,25.08038585,0.482315113,3.536977492,19.77491961,9.646302251,1
5052 Game1-3,13.16326531,8.367346939,7.755102041,34.3877551,1.632653061,3.775510204,27.04081633,6.632653061,1
