,LIWC_Top25Words_corpus_Highest_funct_2intervals@interval2,LIWC_Top25Words_corpus_Highest_funct_2intervals@interval1
2001,0.59285667581,0.557799063806
2052,0.603229011426,0.648528048251
2101,0.587639539712,0.455882933312
2152,0.667897657659,0.780112496399
2201,0.632355705302,0.734277136435
2252,1.14699707793,1.10808399217
2301,0.914171865076,0.878068083796
2352,0.566118447357,0.790995613562
2401,0.549428957304,0.408334540732
2452,0.763944418955,0.705993091961
2501,0.792157107058,0.856522761464
2552,0.807047055819,0.677630900584
2601,0.553127814783,0.598797631918
2652,0.471339837713,0.506208879232
2701,0.533727446767,0.552520547284
2752,0.539245608874,0.574891128111
2801,0.620834328678,0.431126064189
2852,0.78361882977,0.772278862892
2901,0.399162716781,0.390371867759
2952,0.632789545086,0.58201922957
3001,0.984120991191,0.960025382276
3052,0.518496070164,0.454199100711
3101,0.773882457107,0.792510560383
3201,0.448157217537,0.482749891397
3252,0.478214071809,0.488965348289
3301,0.356716997871,0.438786733744
3401,0.759814726805,0.834308135409
3452,0.664840174114,0.664592533124
3501,0.564964612369,0.664891496863
3552,0.605172002576,0.742826683582
3601,0.543553053626,0.603556570092
4001,0.742593960381,1.2013903826
4052,0.472414148568,0.472987838389
4101,0.985743586901,0.821367943261
4152,0.551420973215,0.569175092376
4201,0.474779043586,0.546803344337
4252,0.584518809565,0.855718447266
4352,0.545352866603,0.408024466133
4401,0.510909272111,0.65785835827
4452,0.622777553902,0.554596194408
4501,0.814063697148,0.781741808752
4552,0.546531097253,0.398592966577
4601,0.655711530083,0.681091404499
4652,0.668888108069,0.60700145704
4701,0.55245978913,0.603607367691
4752,0.724954522619,0.720083340927
4801,0.47868007283,0.500958321768
4852,1.00817499113,0.73731346404
4901,0.578830924032,0.684758637589
4952,0.776919058272,0.831084302854
5001,0.635419790517,0.589284804227
5052,0.713597412263,0.760720852184
5101,0.929541917777,0.776355503442
5152,0.720039258183,0.639905960269
5201,0.715664538155,0.743663619429
5252,0.763309093523,0.988544072031
5301,0.828579527958,0.840998393727
5352,0.684238173261,0.762579200161
5401,0.652687732076,0.676312123373
5452,0.637659610858,0.622212380765
5501,0.598527318622,0.625494526116
5552,0.605122379556,0.580052743062
