TeamID,AVG_cohesion_all,AVGConflictAVG,shimmer_local_interval_1_interval_4,pitch_mean_interval_1_interval_4,pitch_sd_interval_1_interval_4,intensity_max_interval_1_interval_4,intensity_sd_interval_1_interval_4,intensity_mean_interval_1_interval_4,jitter_local_interval_1_interval_4,pitch_max_interval_1_interval_4,shimmer_local_interval_1_interval_4_pw,pitch_mean_interval_1_interval_4_pw,pitch_sd_interval_1_interval_4_pw,intensity_max_interval_1_interval_4_pw,intensity_sd_interval_1_interval_4_pw,intensity_mean_interval_1_interval_4_pw,jitter_local_interval_1_interval_4_pw,pitch_max_interval_1_interval_4_pw,binary_cohision,binary_conflict,binary_cohesion_median,binary_conflict_median
2001,0.860572262,-0.829646223,-0.004753333,2.061333333,2.308666667,1.351126807,0.609761083,2.12355484,0.00298,15.50733333,-0.001786111,0.922888889,0.935333333,0.4443569,0.265224626,2.12355484,0.001373333,15.50733333,1,0,1,0
2052,0.128943907,-1.260250262,-0.011613333,11.44666667,2.386,2.658438413,0.346368859,0.2980381,-0.005973333,4.108666667,-0.011613333,5.155444444,1.141,1.318201444,0.160538902,0.109349698,-0.005973333,2.034611111,1,0,1,0
2101,0.126779347,-0.758218516,-0.008506667,-11.89133333,3.817333333,6.198353533,0.102711153,-0.28442582,0.001153333,-10.78866667,-0.008506667,-11.89133333,1.823055556,6.198353533,0.038266067,-0.070112303,0.001153333,-10.78866667,1,0,1,0
2152,-0.334573176,0.744512356,0.002635,-0.2755,6.926333333,1.129611788,-0.074900657,1.761807375,0.000553333,-1.0395,0.000971667,-0.9205,3.463166667,0.564805894,0.053657185,1.761807375,6.25E-05,-0.145166667,0,1,0,1
2201,0.501466087,0.737624964,0.012498333,-4.032166667,0.264333333,2.821870965,0.498191238,-2.285857238,0.006398333,-14.00733333,0.006249167,-4.032166667,0.264333333,1.409321189,0.498191238,-1.063234621,0.006398333,-14.00733333,1,1,1,1
2252,0.020145758,0.051922907,0.017366667,2.703833333,1.8895,-0.238846978,-0.495228857,-1.524775637,0.00323,-10.0325,0.017366667,0.792583333,0.0865,-0.308831618,-0.247614428,-0.762387818,0.001435833,-4.56975,1,1,0,1
2301,0.132568621,-1.009234389,0.00328,-10.32266667,-0.326,-8.37680592,1.207929127,-0.152564787,0.001513333,14.82533333,0.001194444,-5.034111111,0.008833333,-8.37680592,1.207929127,-0.152564787,0.000628333,11.53616667,1,0,1,0
2352,0.228959448,-0.419194907,-0.000146667,-6.891666667,2.245333333,1.693083605,-0.674506582,1.116077687,0.001115,88.92033333,-0.000146667,-3.445833333,0.66075,0.474216333,-0.337253291,1.116077687,0.0005575,43.81508333,1,0,1,0
2401,-2.573173408,2.976754327,-0.000413333,4.449333333,1.470666667,-8.80540574,0.084611893,0.014703913,2.00E-05,7.637333333,0.000282778,2.082555556,0.483722222,-8.80540574,0.026338631,-0.066519613,-2.17E-05,3.63,0,1,0,1
2452,1.186118813,-0.838829411,-0.002633333,1.908,-5.278666667,-0.278876813,0.590612899,0.058414533,0.00248,-29.03,-0.002633333,0.846222222,-2.2445,-0.102115066,0.590612899,-0.031295358,0.001233889,-14.12366667,1,0,1,0
2501,0.380564584,-0.883726452,-0.002398333,22.69833333,3.660166667,-0.256315308,-0.962340275,0.381134393,-0.002466667,142.204,-0.003358333,22.69833333,0.902916667,-0.256315308,-0.454643953,0.381134393,-0.000986667,142.204,1,0,1,0
2552,-1.213680157,0.86801377,-0.004446667,-10.49066667,5.35,3.198169973,-0.002910967,-2.45159866,-0.00012,-12.692,-0.004446667,-5.121,5.35,1.454034003,0.072696606,-1.178160619,-0.000207222,-6.275277778,0,1,0,1
2601,0.340390261,-0.767401704,0.011773333,2.17,10.20133333,1.838240333,-0.163055554,2.039538727,0.006246667,7.036,0.011773333,2.17,4.438111111,0.888320227,-0.067531205,0.908688178,0.006246667,7.036,1,0,1,0
2652,1.13941077,-1.260250262,0.006126667,-13.408,-18.774,-4.20635062,1.140423974,1.447933007,-0.0031,59.13733333,0.006126667,-13.408,-9.164055556,-1.85441012,1.140423974,1.447933007,-0.0031,29.39527778,1,0,1,0
2701,0.344941929,-0.838829411,0.00324,-2.213333333,-1.966666667,5.38268218,-0.47154492,-2.055302527,0.000133333,18.81133333,0.00324,-1.829722222,-0.596888889,2.488705363,-0.227344033,-2.055302527,0.000192778,9.2735,1,0,1,0
2752,0.147162656,0.668184353,0.012806667,0.067,-1.881666667,-2.181165625,0.958239681,-2.913477612,0.001845,7.332666667,0.006403333,-0.278833333,-0.418333333,-1.023718226,0.958239681,-1.456738806,0.000740833,3.666333333,1,1,1,1
